class_id,class_name,precision,recall,f1,support
241,gustar,0.0000,0.0000,0.0000,1
242,gusto,0.0000,0.0000,0.0000,0
243,hablar,0.0000,0.0000,0.0000,2
244,hacer,0.1250,0.2500,0.1667,4
245,hasta,0.0000,0.0000,0.0000,0
246,hay,0.0000,0.0000,0.0000,0
247,hermano,0.6250,0.7143,0.6667,7
248,historia,0.0000,0.0000,0.0000,0
249,hola,1.0000,0.5000,0.6667,2
250,hombre,0.0000,0.0000,0.0000,1
251,hoy,0.0000,0.0000,0.0000,2
252,huevo,0.0000,0.0000,0.0000,0
253,idea,0.5000,0.3333,0.4000,3
254,identificar,0.0000,0.0000,0.0000,0
255,igual,0.0000,0.0000,0.0000,3
256,imagen,0.0000,0.0000,0.0000,0
257,imaginar,0.0000,0.0000,0.0000,1
258,impaciente,0.0000,0.0000,0.0000,0
259,importante,1.0000,0.5000,0.6667,4
260,impulsar,0.0000,0.0000,0.0000,0
261,incas,0.0000,0.0000,0.0000,0
262,incluir,0.0000,0.0000,0.0000,1
263,información,0.0000,0.0000,0.0000,0
264,informar,0.0000,0.0000,0.0000,0
265,ingerir,0.0000,0.0000,0.0000,0
266,inspirar,0.0000,0.0000,0.0000,0
267,inteligente,0.0000,0.0000,0.0000,0
268,interesante,0.0000,0.0000,0.0000,1
269,investigar,0.0000,0.0000,0.0000,1
270,ir,0.0000,0.0000,0.0000,0
271,ira,0.0000,0.0000,0.0000,1
272,jugar,0.0000,0.0000,0.0000,2
273,juntarse,0.0000,0.0000,0.0000,0
274,junto,0.0000,0.0000,0.0000,1
275,juntos,0.0000,0.0000,0.0000,2
276,lapiz,0.0000,0.0000,0.0000,0
277,leche,0.0000,0.0000,0.0000,0
278,lenteja,0.5000,1.0000,0.6667,1
279,libro,0.0000,0.0000,0.0000,1
280,licuadora,0.0000,0.0000,0.0000,1
281,lista,0.0000,0.0000,0.0000,0
282,listo,0.0000,0.0000,0.0000,1
283,llamar,0.0000,0.0000,0.0000,1
284,llorar,0.0000,0.0000,0.0000,0
285,luego,0.0000,0.0000,0.0000,0
286,lugar,0.0000,0.0000,0.0000,3
287,madre,0.0000,0.0000,0.0000,0
288,mal,0.0000,0.0000,0.0000,2
289,mamá,0.0000,0.0000,0.0000,1
290,manejar,0.4000,0.6667,0.5000,3
291,manera,0.0000,0.0000,0.0000,0
292,mar,0.0000,0.0000,0.0000,1
293,mañana,0.0000,0.0000,0.0000,0
294,mejor,0.0000,0.0000,0.0000,0
295,menos,0.0000,0.0000,0.0000,0
296,meter,0.0000,0.0000,0.0000,0
297,mi,0.0000,0.0000,0.0000,1
298,miedo,0.0000,0.0000,0.0000,0
299,mineral,0.0000,0.0000,0.0000,0
300,ministerio,0.0000,0.0000,0.0000,1
301,mirarme,0.0000,0.0000,0.0000,0
302,mismos,0.0000,0.0000,0.0000,0
303,mitad,0.0000,0.0000,0.0000,1
304,molesto,0.0000,0.0000,0.0000,1
305,momento,0.0000,0.0000,0.0000,1
306,mostrar,0.0000,0.0000,0.0000,1
307,mover,0.0000,0.0000,0.0000,0
308,mujer,0.0000,0.0000,0.0000,1
309,multiplicar,0.0000,0.0000,0.0000,1
310,mundo,0.0000,0.0000,0.0000,1
